ms,diff
0,3
1,2
2,3
3,3
3,3
4,3
5,3
6,3
7,3
7,3
8,3
9,3
10,3
10,3
11,3
12,2
13,3
14,3
15,3
15,3
16,3
17,3
18,3
19,3
19,3
20,3
21,3
22,2
23,3
24,3
24,3
25,2
26,3
27,2
28,3
28,3
29,3
30,3
31,3
32,3
33,3
33,3
34,3
35,3
36,3
37,2
37,3
38,3
39,3
40,3
41,3
43,3
43,3
44,3
45,3
46,3
47,3
47,3
48,3
49,3
50,3
51,3
52,3
52,3
53,2
54,2
55,3
56,3
56,3
57,3
58,3
59,3
60,3
61,2
61,2
62,3
63,3
64,3
65,2
65,3
66,3
67,3
68,3
69,3
70,3
70,3
71,2
72,3
73,3
74,2
74,3
75,3
76,3
77,3
78,3
79,3
79,2
80,3
81,3
82,3
83,2
83,3
84,3
86,3
87,3
88,3
88,3
89,2
90,3
91,3
92,3
93,3
93,3
94,2
95,3
96,2
97,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
103,3
104,3
105,3
106,2
107,3
108,3
109,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
116,3
117,2
118,3
119,3
120,3
121,3
122,3
122,3
123,3
124,3
125,3
126,3
128,3
129,3
129,3
130,3
131,3
132,3
133,3
134,2
135,2
136,3
136,3
137,3
138,3
139,2
140,3
141,3
142,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
149,3
150,2
151,2
152,3
153,2
154,2
155,3
155,3
156,3
157,2
158,2
159,3
160,3
161,2
162,3
162,3
163,3
164,2
165,3
166,3
167,3
168,3
168,3
169,3
171,3
172,3
173,3
174,3
175,3
176,3
176,3
177,3
178,2
179,3
180,3
181,3
182,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
188,3
189,2
190,3
191,3
192,3
193,3
194,3
195,3
195,3
196,3
197,2
198,3
199,3
200,3
201,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
208,3
209,3
210,3
211,3
212,3
214,3
215,3
215,3
216,3
217,3
218,3
219,3
220,2
221,3
222,3
222,3
223,3
224,2
225,3
226,3
227,3
228,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
234,3
235,3
236,2
237,3
238,3
239,3
240,3
241,3
241,3
242,2
243,3
244,3
245,2
246,3
247,2
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
254,3
256,3
257,3
258,3
259,3
260,3
261,3
261,2
262,3
263,3
264,3
265,3
266,3
267,3
268,3
268,3
269,3
270,3
271,2
272,3
273,3
274,3
274,3
275,2
276,3
277,3
278,3
279,3
280,3
280,3
281,3
282,3
283,3
284,3
285,3
286,2
287,3
287,2
288,3
289,3
290,3
291,3
292,3
293,3
293,2
294,3
295,3
296,3
297,2
299,2
300,3
301,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
307,2
308,3
309,3
310,2
311,3
312,3
313,3
313,3
314,3
315,3
316,3
317,3
318,3
319,2
320,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
326,2
327,3
328,3
329,3
330,3
331,3
332,3
333,3
333,3
334,3
335,3
336,3
337,2
338,3
339,2
339,3
340,3
342,3
343,3
344,2
345,3
346,3
347,3
347,2
348,3
349,3
350,3
351,3
352,3
353,2
353,3
354,2
355,3
356,3
357,3
358,3
359,3
359,3
360,3
361,3
362,3
363,3
364,3
365,3
366,3
366,3
367,2
368,3
369,2
370,3
371,2
372,2
372,2
373,3
374,3
375,3
376,3
377,2
378,3
379,3
379,2
380,3
381,3
382,2
384,3
385,2
386,3
386,3
387,3
388,3
389,3
390,3
391,3
392,2
393,3
393,3
394,3
395,3
396,3
397,2
398,3
399,3
399,3
400,3
401,3
402,3
403,2
404,3
405,3
406,3
406,3
407,3
408,3
409,3
410,2
411,3
412,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
418,3
419,3
420,2
421,3
422,2
423,3
424,3
425,3
425,3
427,3
428,3
429,3
430,3
431,3
432,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
